Latitude,Longitude
7581424,650600
6337177,456028
6423440,564895
6466506,353666
6233634,461424
6426108,733121
7422760,570495
7333268,865858
7134909,763500
6526456,636722
7282225,796227
6272786,544705
6576746,348540
6640136,538420
7083426,560401
6561754,615610
7128648,485073
6633334,662893
6638161,614323
6513941,482855
6327724,471493
6385217,514896
6448672,334101
7038648,521368
6607194,664270
6984138,437034
6724036,424887
6421980,533782
6774007,605132
6458422,310367
6513622,508222
6355661,422434
6669695,540709
7048754,630860
6319105,413710
6150321,396175
6303818,495646
6323147,515611
6388795,545084
6420575,727788
6497994,469555
7446496,714846
6150719,421789
6174721,404038
6733960,577702
7586022,643552
6382547,340666
6552779,603471
6605422,472915
7367313,641584
6654684,536934
6561451,637679
7411751,571098
7300790,687762
7123130,747661
6448490,571284
6237995,480505
7004344,409602
6640665,407014
6587380,385572
6902328,383850
6633396,530845
7430468,866731
6292542,403889
7085765,660807
6524402,304388
6521159,636845
6866040,494426
6242312,522150
7092712,736488
6650914,620487
6514332,571373
6329472,349541
6722638,524356
6282456,381477
6441770,447338
6835394,583469
7166267,624434
6949478,475083
7056652,362825
7316078,548538
6555227,634745
6334843,470770
6547594,315641
6311629,516523
6513292,455007
7066942,711727
6225833,496102
7114433,756590
6369038,503572
6369741,561954
6606899,690199
6288378,524888
6984927,400320
6901492,534981
6611063,347304
6912536,602944
6988353,627371
7513674,788304
6554474,344002
7181862,724058
6982406,437675
7287010,663453
6500984,438132
